state,city,date,company,carjacking_happened_via_the_app,driver_deceased,source,additional_sources
California,San Diego,04/30/2020,Lyft,Yes,,https://fox5sandiego.com/news/local-news/5-teens-arrested-after-carjacking-local-lyft-driver/,['https://www.sandiegouniontribune.com/news/public-safety/story/2020-04-30/lyft-passengers-carjack-driver-at-gunpoint-near-petco-park']
California,San Francisco,02/07/2021,DoorDash,No,,https://www.gofundme.com/f/help-the-fang-family-after-children-abducted,"['https://www.wired.com/story/carjackings-up-gig-workers-victimized/', 'https://www.nbcnews.com/business/business-news/gig-workers-fear-carjacking-other-violence-amid-spike-violence-crimes-n1264987', 'https://www.wired.com/story/gig-economy-uber-lyft-doordash-jeffrey-fang/', 'https://www.nbcbayarea.com/news/local/san-francisco/sf-police-search-for-missing-kids-in-stolen-honda-odyssey/2461349/']"
California,South El Monte,05/11/2021,Lyft,No,,https://www.newsweek.com/paul-liao-asian-american-robbed-lyft-uber-gofundme-1591468,"['https://www.gofundme.com/f/help-paul-raise-money-to-see-a-doctor?utm_campaign=p_cp_url&utm_medium=os&utm_source=customer', 'https://losangeles.cbslocal.com/2021/05/13/caught-on-camera-67-year-old-taiwanese-lyft-driver-robbed-at-gunpoint/ ', 'https://www.nbclosangeles.com/news/local/watch-67-year-old-lyft-driver-beaten-and-robbed-at-gas-station-in-south-el-monte/2595731/']"
Connecticut,Hamden,10/22/2020,DoorDash,No,,https://www.fox61.com/article/news/local/hamden-police-investigating-two-armed-robberies-and-an-armed-carjacking-thursday-morning/520-6202bf9b-20e5-4ce8-a20a-0313f5b0c1a0,
Connecticut,Hamden,10/22/2020,Uber,No,,https://www.fox61.com/article/news/local/hamden-police-investigating-two-armed-robberies-and-an-armed-carjacking-thursday-morning/520-6202bf9b-20e5-4ce8-a20a-0313f5b0c1a0,
Florida,Broward (Fort Lauderdale area),10/27/2020,Uber,Unclear,,https://miami.cbslocal.com/2020/10/28/palm-beach-deputies-killed-knife-wielding-carjacker/,
Florida,Fort Lauderdale,06/15/2020,Uber,No,,https://www.local10.com/news/local/2020/06/15/armed-carjackers-target-uber-driver-in-fort-lauderdale/,
Florida,Key West,07/18/2021,Uber,Yes,,https://www.orlandosentinel.com/news/florida/os-ne-florida-man-beats-up-uber-driver-steals-his-suv-after-night-of-drinking-20210719-gcro6ovkk5cefdhiba74t2y6v4-story.html,['https://www.nydailynews.com/news/crime/ny-florida-uber-driver-car-20210720-l6h46siosvhxhiopiozpyrfy4u-story.html']
Florida,Orlando,02/27/2020,Uber,Yes,,https://www.clickorlando.com/news/local/2020/03/15/uber-driver-carjacked-by-passenger-who-offered-him-an-iphone-deputies-say/,['https://www.orlandosentinel.com/news/crime/os-ne-uber-driver-carjacked-teen-arrested-20200315-edrbydxkfvh6jmdjgewk7cwbby-story.html']
Florida,West Palm Beach,04/10/2020,Lyft,Unclear,,https://cbs12.com/news/local/15-year-old-accused-of-carjacking-a-lyft-driver-in-west-palm-beach,
